Experiment, ambientCO2 _I(g C m-2 yr-1), ambientCO2 _k(yr-1), ambientCO2 _C*(g C m-2 ), ambientCO2 _T(yr),increasedCO2_I(g C m-2 yr-1),increasedCO2_k(),increasedCO2_C*(g C m-2 ),increasedCO2_T(yr), ln_R_I, ln_R_k, ln_R_C*,D_T(yr),nr. of experiments _at same site,n_ambient CO2,n_increased CO2,weights_wR,weights_wU,weights_wV  (I),weights_wV (k),weights_Ecosystem
SwissFACE- grass - high N,225,0.070,3213,14.3,338,0.080,4210,12.5,0.40750,0.13732,0.27017,-1.84,4,3,3,0.375,0.250,28444,61162,grassland
SwissFACE- clover - low N,273,0.067,4077,14.9,341,0.080,4269,12.5,0.22155,0.17535,0.04619,-2.40,4,3,3,0.375,0.250,32033,56160,grassland
SwissFACE- clover - high N,265,0.076,3514,13.2,316,0.079,4007,12.7,0.17374,0.04250,0.13123,-0.55,4,3,3,0.375,0.250,31335,65519,grassland
Swiss Greenhouse,334,0.039,8587,25.7,464,0.071,6495,14.0,0.32837,0.60761,-0.27924,-11.70,1,2,2,1.000,1.000,137849,127990,grassland
Tallgrass Prairie,253,0.077,3310,13.1,327,0.079,4151,12.7,0.25473,0.02813,0.22661,-0.36,1,3,3,1.500,1.000,85234,276300,grassland
UMBS - aspen ,295,0.067,4389,14.9,384,0.072,5342,13.9,0.26463,0.06798,0.19665,-0.98,1,4,4,2.000,1.000,93057,133768,forest
"WSL - loam, low N",353,0.072,4896,13.9,347,0.073,4739,13.6,-0.01573,0.01680,-0.03254,-0.23,4,4,4,0.500,0.250,23532,40595,forest
"WSL - loam, high N",366,0.059,6157,16.8,377,0.074,5101,13.5,0.02982,0.21788,-0.18806,-3.30,4,4,4,0.500,0.250,25363,36687,forest
"WSL - sand, low N",262,0.072,3634,13.9,346,0.074,4649,13.4,0.27914,0.03275,0.24638,-0.45,4,4,4,0.500,0.250,20685,42647,forest
"WSL - sand, high N",263,0.052,5047,19.2,314,0.074,4242,13.5,0.17760,0.35136,-0.17375,-5.70,4,4,4,0.500,0.250,19380,32834,forest
